Id,Name,Updated at,Completed?,Accessible,Bench,Curb cut,Lighting,Mounting,Mounting direction,Schedule holder,Shelter,Sidewalk,Sign,Trash,Bolt on base,Bus pull out exists?,Extend pole?,Has power?,New anchor?,New pole?,Solar lighting?,Straighten pole?,System map exists?,Mounting clearance after,Mounting clearance before,Created at,Updated at,Completed?,Completed at
107,Amherst College,"",false,"",Other,"",Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""","",Other,"",false,false,false,false,false,false,false,true,"","","","",false,""
109,Amherst Common (N),"",false,"",Other,No curb cut,20' - 50',PVTA pole,"",On pole,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
111,Amherst Common (S),2017-03-24 10:14:57 -0400,false,When necessary,Other,Within 20',Within 20',PVTA pole,"","",PVTA,"More than 36""",Missing sign,Municipal,false,false,false,false,false,false,true,false,false,"","","",2017-03-24 10:14:57 -0400,false,""
117,Amherst Crossing (In),2017-06-26 08:46:39 -0400,true,"",Other,No curb cut,None,PVTA pole,"",On pole,PVTA,"Less than 36""",Missing sign,"",false,false,false,false,false,false,false,false,false,"","","",2017-06-26 08:46:39 -0400,true,2017-06-26 08:46:39 -0400
119,Amherst Crossing (Out),2017-03-07 16:46:03 -0500,true,When necessary,"",Within 20',Within 20',PVTA pole,Away from street,On pole,"","Less than 36""",Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","",2017-03-07 16:46:03 -0500,true,2017-03-07 16:46:03 -0500
121,Amherst Glass (In),"",false,"","",No curb cut,Within 20',PVTA pole,"",On pole,"","More than 36""","","","",false,false,false,false,false,false,false,false,"","","","",false,""
123,Amherst Glass (Out),2017-03-22 15:23:00 -0400,true,Not recommended,"",Within 20',Within 20',PVTA pole,Away from street,On pole,"","Less than 36""",Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:23:00 -0400,true,2017-03-22 15:23:00 -0400
125,Amherst Post Office,"",false,"",PVTA,Within 20',Within 20',Other pole,"",In shelter,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
131,Amherst Town Hall,"",false,"","",No curb cut,Within 20',PVTA pole,"",On pole,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
161,Arnold House,2017-03-08 07:40:33 -0500,false,"",Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:40:33 -0500,false,""
551,Boyden (N),2017-08-01 10:43:07 -0400,true,When necessary,"",No curb cut,20' - 50',PVTA pole,Away from street,"","","More than 36""",Flag stop,"",false,false,false,false,false,false,false,false,false,"",64,"",2017-08-01 10:43:07 -0400,true,2017-08-01 10:43:07 -0400
1023,Churchill Street,"",false,"","",No curb cut,Within 20',PVTA pole,"",On pole,"","More than 36""","","","",false,false,false,false,false,false,false,false,"","","","",false,""
1095,Colonial Village (In),"",false,"",Other,No curb cut,Within 20',"","",On pole,PVTA,None,Missing sign,"","",false,false,false,false,false,false,false,false,"","","","",false,""
1097,Colonial Village (Out),2017-03-07 16:44:49 -0500,true,Not recommended,"",No curb cut,Within 20',PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:44:49 -0500,true,2017-03-07 16:44:49 -0500
1099,Colonial Village / S East Street (In),2017-03-07 16:44:01 -0500,true,When necessary,PVTA,No curb cut,None,PVTA pole,Away from street,On pole,PVTA,"More than 36""",Flag stop,Other,false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:44:01 -0500,true,2017-03-07 16:44:01 -0500
1101,Colonial Village / S East Street (Out),2017-03-07 16:43:14 -0500,true,"","",No curb cut,20' - 50',PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-07 16:43:14 -0500,true,2017-03-07 16:42:56 -0500
1111,CompSci (Lot 26),"",false,"",Other,"",Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""","",Other,"",false,false,false,false,false,false,false,false,"","","","",false,""
1189,Cowles Lane,2017-03-24 10:14:15 -0400,false,When necessary,Other,Within 20',Within 20',PVTA pole,"",On pole,"","More than 36""",Needs attention,Municipal,false,false,false,false,false,false,false,false,false,"","","",2017-03-24 10:14:15 -0400,false,""
1195,Crestview,2017-03-22 15:12:21 -0400,true,When necessary,"",Within 20',20' - 50',PVTA pole,Away from street,"","","More than 36""",Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","",2017-03-22 15:12:21 -0400,true,2017-03-22 15:12:21 -0400
1469,Fairfield Street,2017-03-08 09:02:12 -0500,false,When necessary,"",Within 20',Within 20',Other pole,"","","","More than 36""",Needs attention,"",false,false,false,false,false,false,false,false,false,"",66,"",2017-03-08 09:02:12 -0500,false,""
1471,Fearing Street (In),2017-03-07 16:35:11 -0500,true,When necessary,"",Within 20',20' - 50',PVTA pole,"",On pole,"","More than 36""",Flag stop,"",false,true,false,false,true,true,false,false,false,84,"","",2017-03-07 16:35:11 -0500,true,2017-03-07 16:35:11 -0500
1473,Fearing Street (Out),2017-03-24 10:13:15 -0400,false,When necessary,"",Within 20',Within 20',PVTA pole,Away from street,On pole,Building,"More than 36""",Needs attention,Municipal,false,true,false,false,true,true,false,false,false,84,"","",2017-03-24 10:13:15 -0400,false,""
1495,Fine Arts Center,2017-03-08 09:48:25 -0500,false,When necessary,Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Needs attention,Other,false,true,false,false,false,false,false,false,false,"",89,"",2017-03-08 09:48:25 -0500,false,""
1677,Gray Street (In),2017-06-14 08:18:23 -0400,true,"","",No curb cut,Within 20',PVTA pole,"",On pole,PVTA,"Less than 36""",Missing sign,"",false,false,false,false,false,false,false,false,false,"","","",2017-06-14 08:18:23 -0400,true,2017-06-14 08:18:23 -0400
1679,Gray Street (Out),"",false,"","",No curb cut,None,PVTA pole,"",On pole,"","More than 36""","","","",false,false,false,false,false,false,false,false,"","","","",false,""
1683,GRC,2017-03-08 09:45:04 -0500,false,When necessary,PVTA,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 09:45:04 -0500,false,""
